ts_event,publisher_id,product_id,open,high,low,close,volume
1641200400000000000,2,6189,59360000000,59360000000,59210000000,59350000000,248
1641200400000000000,2,1018,202800000000,203060000000,202800000000,202800000000,362
1641200400000000000,2,5966,171250000000,171250000000,171250000000,171250000000,1
1641200400000000000,2,2807,155300000000,155300000000,155270000000,155270000000,9
1641200400000000000,2,5621,52000000000,52000000000,51810000000,51900000000,7
1641200400000000000,2,27,178320000000,178370000000,178320000000,178370000000,23
1641200400000000000,2,7119,338100000000,338100000000,338100000000,338100000000,5
1641200400000000000,2,4941,415480000000,415480000000,415480000000,415480000000,45
1641200400000000000,2,1763,207520000000,207520000000,207520000000,207520000000,4
1641200400000000000,2,10930,217320000000,217320000000,216840000000,216840000000,6
1641200400000000000,2,6741,270120000000,271190000000,270120000000,271190000000,175
1641200400000000000,2,7407,167860000000,167860000000,167860000000,167860000000,9
1641200400000000000,2,5993,159170000000,159930000000,159170000000,159500000000,38
1641200400000000000,2,11438,144690000000,144690000000,144690000000,144690000000,2
1641200460000000000,2,27,178350000000,178350000000,178320000000,178340000000,147
1641200460000000000,2,6189,59350000000,59370000000,59230000000,59230000000,120
1641200460000000000,2,7119,338100000000,338100000000,338000000000,338090000000,13
1641200460000000000,2,6978,177660000000,177660000000,177660000000,177660000000,3
1641200460000000000,2,6741,270710000000,270710000000,270710000000,270710000000,2
1641200460000000000,2,2807,155280000000,155280000000,155280000000,155280000000,17
1641200460000000000,2,7407,167750000000,167750000000,167750000000,167750000000,4
1641200460000000000,2,10930,217730000000,217730000000,217350000000,217350000000,27
1641200460000000000,2,4755,383550000000,383550000000,383550000000,383550000000,3
1641200460000000000,2,2429,63370000000,63370000000,63370000000,63370000000,1
1641200460000000000,2,5621,51840000000,51840000000,51840000000,51840000000,79
1641200460000000000,2,5966,171250000000,171670000000,171250000000,171670000000,32
1641200460000000000,2,2920,57000000000,57000000000,57000000000,57000000000,1
1641200520000000000,2,5993,159180000000,159180000000,159180000000,159180000000,44
1641200520000000000,2,10806,504010000000,504010000000,504010000000,504010000000,1
1641200520000000000,2,7119,338090000000,338170000000,338090000000,338170000000,20
1641200520000000000,2,27,178290000000,178340000000,178290000000,178320000000,219
1641200520000000000,2,7407,167750000000,167750000000,167750000000,167750000000,2
1641200520000000000,2,8216,163870000000,163870000000,163870000000,163870000000,10
1641200520000000000,2,5966,171300000000,171300000000,171300000000,171300000000,2
1641200520000000000,2,1018,202800000000,203370000000,202800000000,203370000000,150
1641200580000000000,2,10930,217360000000,217360000000,217360000000,217360000000,3
1641200580000000000,2,6189,59300000000,59310000000,59230000000,59230000000,547
1641200580000000000,2,5993,159170000000,159170000000,159170000000,159170000000,18
1641200580000000000,2,27,178320000000,178320000000,178280000000,178300000000,494
1641200580000000000,2,7407,167730000000,167750000000,167730000000,167750000000,180
